OBJECTID,FEATURE,DATE_MOD,OWNER,OWNER_NAME,OPERATOR,CLASS,LINE_NAME,RR_TYPE1,RR_TYPE2,RR_TYPE3,GDB_SUBTYP,GISCODE,Subdivisio,MP_From,MP_To,Direction,Station_To,Station__F,Comments,Trk_Name,HAUL_RIGHT,TRACK_RIGH,STRACNET,ELECTRIFIC,WEIGHT_LIM,PARENT_CO,BUS_FID_Le,ShapeSTLength
142,MultipleTrack,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Babylon 1 to 2,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,70.04400046,229.836051360101
143,MultipleTrack,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,LIRR MAIN LINE,COMM,C3,NA,3,n/a,Main Line,0,94.30000305,East,Greenport,Penn Station, ,LD Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,935.61132,3069.34541604565
144,MultipleTrack,2006-03-29T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,CENTRAL BRANCH,C3,NA,NA,1,n/a,Central,28.70000076,35.90000153,South,Bellmont Junction,Bethpage, ,Wellwood Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,884.94316792,2903.85065104744
145,MultipleTrack,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,PORT JEFFERSON BRANCH,COMM,C3,NA,3,150670261,Port Jefferson,0,0, , , , ,Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,1044.93470456,3428.8101550994
146,Siding,2006-03-29T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,CENTRAL BRANCH,C3,NA,NA,1,n/a,Central,0,0, , , , ,Pergament,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,246.93503735,810.294972627626
147,Siding,2006-03-29T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,CENTRAL BRANCH,C3,NA,NA,1,n/a,Central,0,0, , , , ,Pergament,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,149.38510249,490.194082699064
148,MultipleTrack,2006-03-31T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,24.79999924,63.70000076,East,Port Jefferson,Hicksville, ,Controlled Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,647.59472745,2124.84160053479
149,SingleTrack,2006-03-31T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,PORT JEFFERSON BRANCH,COMM,C3,NA,3,150670261,Port Jefferson,24.79999924,63.70000076,East,Port Jefferson,Hicksville, ,Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,8997.98719248,29523.8153872552
150,MultipleTrack,2006-03-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,PORT JEFFERSON BRANCH,COMM,C3,NA,3,150670261,Port Jefferson,0,0, , , , ,Track 1,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,16862.3511328,55333.2407748975
151,Siding,2006-03-29T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,CENTRAL BRANCH,C3,NA,NA,1,n/a,Central,0,0, , , , ,AMCO Plastics,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,170.22085653,558.566136611277
152,Siding,2006-03-29T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,CENTRAL BRANCH,C3,NA,NA,1,n/a,Central,0,0, , , , ,AMCO Plastics,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,76.81157716,252.05125978021
153,MultipleTrack,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,PORT JEFFERSON BRANCH,COMM,C3,NA,3,150670261,Port Jefferson,0,0, , , , ,Main,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,1256.1175117,4121.81766866104
154,MultipleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,0, , , , ,SN Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,779.16195074,2555.78695683959
155,Siding,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,0,0, , , , ,Runaround,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,664.21685209,2179.56746677072
156,Siding,2006-03-29T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,CENTRAL BRANCH,C3,NA,NA,1,n/a,Central,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,232.47747718,762.842324444009
157,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,1135.84250514,3727.18050637136
158,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,1666.33652132,5467.95625175229
159,Yard,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,BABYLON YARD,COMM,NA,NA,2,n/a,Montauk,0,0, , , , , ,n/a,n/a,N,R,263,Metropolitan Transportation Authority,457.88742566,1502.4734556413
160,Yard,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,BABYLON YARD,COMM,NA,NA,2,n/a,Montauk,0,0, , , , , ,n/a,n/a,N,R,263,Metropolitan Transportation Authority,552.36901513,1812.49728990725
161,Siding,2006-04-10T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,C3,NA,NA,1,n/a,Montauk,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,557.91626876,1830.57151533468
162,Siding,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,C3,NA,NA,1,n/a,Montauk,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,440.70142146,1446.0839239892
163,MultipleTrack,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,2,LIRR MAIN LINE,COMM,C3,NA,3,n/a,Main Line,0,0, , , , ,Pocket,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,187.82364041,616.095425362243
164,Yard,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,RONKONKOMA YARD,COMM,NA,NA,2,n/a,Main Line,0,0, , , , ,Track 7,n/a,n/a,N,R,263,Metropolitan Transportation Authority,401.57392227,1317.59864427537
165,MultipleTrack,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,LIRR MAIN LINE,COMM,C3,NA,3,n/a,Main Line,0,0, , , , ,K Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,576.86587467,1892.35424206152
166,Siding,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,162.70117838,533.858075865123
167,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,186.86402702,613.177333302176
168,MultipleTrack,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,2,LIRR MAIN LINE,COMM,C3,NA,3,n/a,Main Line,0,0, , , , ,Wyandanch Freight,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,697.45571732,2288.60614146393
169,MultipleTrack,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,COMM,C3,NA,3,n/a,Main Line,0,0, , , , ,Southold DE Freight,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,396.33132799,1300.07179381063
170,Siding,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,167.6542116,550.107593856938
171,MultipleTrack,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,COMM,C3,NA,3,n/a,Main Line,0,0, , , , ,Pineaire Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,1265.4529197,4152.30324062816
172,Yard,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,RONKONKOMA YARD,COMM,NA,NA,2,n/a,Main Line,0,0, , , , ,Track 9,n/a,n/a,N,R,263,Metropolitan Transportation Authority,675.70125991,2217.03558579548
173,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,141.09961441,462.894691188706
174,MultipleTrack,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,2,LIRR MAIN LINE,COMM,C3,NA,3,n/a,Main Line,0,0, , , , ,CI Siding,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,1105.22213263,3626.4470125201
175,Siding,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,249.33707301,818.065349229797
176,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,126.98531642,416.586159166441
177,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,225.55966743,740.123277876186
178,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,228.1318351,748.597630758365
179,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,174.29369625,571.929576001524
180,MultipleTrack,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,2,LIRR MAIN LINE,COMM,C3,NA,3,n/a,Main Line,0,0, , , , ,KO North Siding,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,598.3270834,1963.17695818561
181,SingleTrack,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,5931.87258972,19463.365130521
182,MultipleTrack,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,2388.63581076,7837.34954642766
183,Siding,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,163.6466411,536.91711379912
184,SingleTrack,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,2568.58009777,8428.40084293262
185,SingleTrack,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305, ,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,14986.5000364,49170.4572481592
186,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,77.34193592,253.791624948007
187,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,860.8134671,2824.56862599917
188,Yard,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,RONKONKOMA YARD,COMM,NA,NA,2,n/a,Main Line,0,0, , , , ,Track 3,n/a,n/a,N,R,263,Metropolitan Transportation Authority,421.35881708,1382.5152857417
189,Yard,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,RONKONKOMA YARD,COMM,NA,NA,2,n/a,Main Line,0,0, , , , ,Track 2,n/a,n/a,N,R,263,Metropolitan Transportation Authority,382.8907882,1256.29822621179
190,Yard,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,RONKONKOMA YARD,COMM,NA,NA,2,n/a,Main Line,0,0, , , , ,Track 6,n/a,n/a,N,R,263,Metropolitan Transportation Authority,453.46525874,1487.85901946493
191,Yard,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,RONKONKOMA YARD,COMM,NA,NA,2,n/a,Main Line,0,0, , , , ,Track 5,n/a,n/a,N,R,263,Metropolitan Transportation Authority,416.94790692,1368.04235745024
192,Siding,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,173.8032632,570.227511458626
193,MultipleTrack,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,701.19362918,2300.52981549033
194,SingleTrack,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,9896.65902565,32469.0809195919
195,Siding,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,381.39122164,1251.29181865943
196,Siding,2006-04-24T00:00:00.000Z,PRVT,Brookhaven Labratories,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,2659.74261219,8726.14485171745
197,Siding,2006-04-24T00:00:00.000Z,PRVT,Brookhaven Labratories,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,791.79178474,2597.73642001425
198,Siding,2006-04-24T00:00:00.000Z,PRVT,Brookhaven Labratories,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,585.66001808,1921.44135660478
199,Yard,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,RONKONKOMA YARD,COMM,NA,NA,2,n/a,Main Line,0,0, , , , ,Track 8,n/a,n/a,N,R,263,Metropolitan Transportation Authority,433.85012301,1423.49999584432
200,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,117.38290535,385.08353384637
201,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,74.39358068,244.053926881442
202,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,148.34594406,486.659710583442
203,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,371.68071611,1219.32649436109
204,Siding,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,150.16660051,492.754446939112
205,Siding,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,307.97851271,1010.59543294863
206,Siding,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,303.01219013,994.231714904405
207,Siding,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,267.06593532,876.352586286729
208,Siding,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,181.21058221,594.622484715142
209,Siding,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,225.25778389,739.160714709163
210,Siding,2006-03-29T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,CENTRAL BRANCH,C3,NA,NA,1,n/a,Central,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,196.80923659,645.802042176797
211,Siding,2006-03-29T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,CENTRAL BRANCH,C3,NA,NA,1,n/a,Central,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,26.26074767,86.1719690522647
212,Siding,2006-03-29T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,CENTRAL BRANCH,C3,NA,NA,1,n/a,Central,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,81.86266937,268.624167985248
213,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,189.82005072,622.724469515209
214,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,45.13982211,148.084842206964
215,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0, , , , ,Riverhead S Freight,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,440.07769996,1443.71042536536
216,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,146.36764478,480.170926860206
217,Siding,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,164.79221468,540.750766751149
218,Siding,2008-12-05T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,94.30000305, ,Greenport,Penn Station, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,286.88140319,941.25988685779
219,Siding,2008-12-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,MONTAUK BRANCH,C3,NA,NA,1,n/a,Montauk,0,0, , , , ,Industrial Siding,n/a,NYAR,N,None,263,Metropolitan Transportation Authority,169.08632886,554.613214581322
220,MultipleTrack,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,24.79999924,63.70000076,East,Port Jefferson,Hicksville, ,Controlled Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,710.82352423,2332.39423706897
221,SingleTrack,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,PORT JEFFERSON BRANCH,COMM,C3,NA,3,150670261,Port Jefferson,24.79999924,63.70000076,East,Port Jefferson,Hicksville, ,Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,4684.18301585,15370.1537300644
222,SingleTrack,2006-03-31T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,PORT JEFFERSON BRANCH,COMM,C3,NA,3,150670261,Port Jefferson,24.79999924,63.70000076,East,Port Jefferson,Hicksville, ,Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,7840.21144003,25724.3735725738
223,Siding,2006-03-31T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,24.79999924,63.70000076,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,344.67515722,1130.91238168607
224,Yard,2006-03-31T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON YARD,COMM,C3,NA,3,n/a,Port Jefferson,0,0, , , , ,Main to 2,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,49.44965622,162.246369146288
225,Yard,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,BABYLON YARD,COMM,NA,NA,2,n/a,Montauk,0,0, , , , , ,n/a,n/a,N,R,263,Metropolitan Transportation Authority,489.73098395,1606.96253418557
226,Yard,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,BABYLON YARD,COMM,NA,NA,2,n/a,Montauk,0,0, , , , , ,n/a,n/a,N,R,263,Metropolitan Transportation Authority,340.63317563,1117.72534763748
227,MultipleTrack,2010-02-05T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,0, , , , ,Track 2,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,66247.5868221,217386.959575742
228,SingleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,54,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,5842.2385677,19161.5781921571
229,SingleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,54,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,3888.21895287,12755.6050344678
230,SingleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,54,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,7622.47494544,25002.6066764171
231,SingleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,54,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,8948.7488143,29351.6841778723
232,SingleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,54,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,4641.21067959,15226.359215185
233,SingleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,54,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,2541.05050432,8336.25363595876
234,SingleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,54,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,11070.527333,36314.3702889688
235,SingleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,54,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,17730.0855554,58148.1068142524
