OBJECTID,FEATURE,DATE_MOD,OWNER,OWNER_NAME,OPERATOR,CLASS,LINE_NAME,RR_TYPE1,RR_TYPE2,RR_TYPE3,GDB_SUBTYP,GISCODE,Subdivisio,MP_From,MP_To,Direction,Station_To,Station__F,Comments,Trk_Name,HAUL_RIGHT,TRACK_RIGH,STRACNET,ELECTRIFIC,WEIGHT_LIM,PARENT_CO,BUS_FID_Le,ShapeSTLength
75,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,137.55357401,451.355061089551
76,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,116.74872561,383.08809518001
77,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0, , , , ,Runaround,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,208.8381917,685.26504348826
78,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0, , , , ,Pilgrim Lead,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,982.42970711,3223.630259005
79,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,86.38842218,283.464223879356
80,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,0,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,112.2775994,368.413883408037
81,SingleTrack,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,3495.65095335,11469.9995934457
82,Siding,2006-04-21T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,7,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,238.57412601,782.859430390022
83,MultipleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,115.09999847,East,Montauk,Penn Station, ,WH Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,491.14158017,1611.21180084872
84,MultipleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,54,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,490.84671595,1610.24447685435
85,MultipleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,115.09999847,East,Montauk,Penn Station, ,BH North Freight,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,843.51210027,2766.76942789627
86,Siding,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,MONTAUK BRANCH,C3,NA,NA,1,n/a,Montauk,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,227.05923778,744.767576342168
87,MultipleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,2,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,0, , , , ,AG Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,524.68110109,1720.83699723463
88,SingleTrack,2006-04-24T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,6092.74919473,19988.569312776
89,MultipleTrack,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,620.60871302,2036.01507191082
90,SingleTrack,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,5753.98208245,18876.6801483389
91,MultipleTrack,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,24.79999924,63.70000076,East,Port Jefferson,Hicksville, ,Controlled Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,857.0211262,2812.05724500543
92,MultipleTrack,2006-03-31T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,PORT JEFFERSON BRANCH,COMM,C3,NA,3,150670261,Port Jefferson,24.79999924,63.70000076,East,Port Jefferson,Hicksville, ,Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,646.98218816,2122.83177103723
93,Yard,2006-03-31T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON YARD,COMM,C3,NA,3,n/a,Port Jefferson,24.79999924,63.70000076,East,Port Jefferson,Hicksville, ,Track 2,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,1690.44047466,5546.40915820646
94,MultipleTrack,2006-04-19T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,0, , , , ,Fence Track,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,263.37327906,864.126457063438
95,Siding,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,C3,NA,NA,1,n/a,Montauk,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,327.0465177,1073.12269566916
96,Yard,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,SPEONK YARD,COMM,C3,NA,3,n/a,Montauk,0,0, , , , ,Track 2,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,298.69389519,979.898780267791
